BRAND: ,Matching,Conflicting,Pos. first,Conf. first,Number match,Number conf
Adidas,brave,lazy,1,1,121,181
Airbus,comfortable,unconventional,1,1,122,182
Alibaba,Cheap,Expensive,0,1,123,183
Amazon,Giant,inaccessible,0,0,124,184
Apple,modern,boring,0,0,125,185
Asus,powerful,heavy,1,0,126,186
Audi,sleek,rough,1,1,127,187
Bauer,sharp,lame,1,1,128,188
Bayer,medicinal,pointless,1,1,129,189
Boeing,giant,small,1,1,130,190
Bosch,familiar,dull,1,1,131,191
Bose,Popular,unpopular,1,1,132,192
CNN,political,little,1,1,133,193
Disney,friendly,mean,0,1,134,194
Electrolux,scandinavian,chinese,1,1,135,195
Fanta,orange,flavorless,0,1,136,196
Fender,Expensive,cheap,0,0,137,197
FOX,international,boring,0,1,138,198
Gant,stylish,unclassy,1,0,139,199
Garmin,technical,plain,0,1,140,200
Google,dominant,useless,1,1,141,201
Huawei,innovative,scandinavian,1,1,142,202
Husqvarna,Exciting,unexciting,0,0,143,203
IBM,global,small,0,0,144,204
IKEA,affordable,expensive,1,1,145,205
KFC,affordable,healthy,1,1,146,206
Lacoste,traditional,poor,0,0,147,207
LEGO,creative,impractical,1,1,148,208
Lidl,Popular,overpriced,1,1,149,209
Littmann,Accurate,ugly,1,0,150,210
Lufthansa,brilliant,dull,1,1,151,211
McDonald's,Cheap,expensive,1,0,152,212
Microsoft,Ultimate,unnecessary,1,1,153,213
Motorola,innovative,traditional,1,0,154,214
Nike,athletic,lazy,0,1,155,215
Nintendo,Entertaining,unentertaining,1,1,156,216
Oakley,trendy,ordinary,0,1,157,217
OnePlus,Gorgeous,ugly,0,0,158,218
Pepsi,cold,warm,1,1,159,219
Philips,accessible,complicated,0,0,160,220
Pringles,tasty,healthy,1,0,161,221
Puma,Amazing,unimpressive,1,1,162,222
RayBan,Stylish,unfashionable,1,1,163,223
Rolex,Exclusive,affordable,1,1,164,224
Samsung,intelligent,poor,0,0,165,225
Sennheiser,Professional,hateful,1,0,166,226
Sony,Thrilling,monotonous,0,0,167,227
Sprite,fresh,tasteless,1,0,168,228
Starbucks,Versatile,ordinary,0,0,169,229
Subway,fresh,greasy,0,1,170,230
Suzuki,functional,popular,1,1,171,231
Tesco,helpful,unhelpful,0,1,172,232
Tesla,Futuristic,cheap,0,0,173,233
Thomann,musical,mainstream,0,0,174,234
Toyota,friendly,finnish,1,0,175,235
Verizon,connected,small,0,0,176,236
Visa,handy,useless,0,1,177,237
Volvo,safe,undeveloped,1,1,178,238
Walmart,Cheap,expensive,1,1,179,239
Yamaha,powerful,inefficient,1,0,180,240
