BRAND: ,Matching,Conflicting,Pos. first,Conf. first,Number match,Number conf
Abloy,Luotettava,Turvaton,1,0,1,61
Arabia,Arvokas,Halpa,0,1,2,62
Billebeino,Muodikas,Vanha,0,0,3,63
DNA,Halpa,Kallis,1,0,4,64
Elisa,Nopea,Hidas,1,1,5,65
Elovena,Terveellinen,Keinotekoinen,1,0,6,66
Fazer,Makea,Mauton,0,1,7,67
Finlayson,Mukava,Ankea,0,1,8,68
Finnair,Turvallinen,Vaarallinen,1,0,9,69
Finnkino,kiintoisa,Halpa,1,0,10,70
Fiskars,Kotimainen,murtuva,0,1,11,71
Fortum,Energinen,Voimaton,1,0,12,72
Futurice,Nuorekas,Byrokraattinen,0,0,13,73
Genelec,Laadukas,laaduton,1,0,14,74
Hackman,Luja,Heikko,1,0,15,75
Hartwall,Kupliva,kuuma,0,1,16,76
Hesburger,Herkullinen,Mauton,0,1,17,77
HSL,Tehokas,Tehoton,1,0,18,78
Iittala,Ajaton,Ruma,1,1,19,79
Kalevala,Perinteinen,Ruma,0,1,20,80
Karhu,Maukas,Kuiva,1,0,21,81
Kesko,Suuri,Pieni,0,1,22,82
KONE,Tunnettu,Tuntematon,1,1,23,83
Leijonat,Voittajat,Luuserit,0,1,24,84
Lumene,Luonnollinen,Myrkyllinen,1,1,25,85
Makia,Nuorekas,Vanhoillinen,1,1,26,86
Marimekko,Kukkainen,Kulunut,1,0,27,87
MTV,Mieluisa,Irrelevantti,1,0,28,88
Muumi,Rakastettu,Surullinen,0,0,29,89
Neste,Kotimainen,Saastuttava,1,1,30,90
Nokia,Nostalginen,luovuttaja,1,0,31,91
Nordea,Varakas,varaton,0,1,32,92
Onnibus,Punainen,Sininen,0,0,33,93
Orion,Luotettava,Kasvoton,1,1,34,94
Outotec,Aikaansaava,Tehoton,0,1,35,95
Patria,Unohtumaton,Unohdettava,0,1,36,96
Paulig,Maukas,Mauton,1,0,37,97
Pirkka,Edullinen,Tyyris,0,1,38,98
Planmeca,Tekninen,Yksinkertainen,1,0,39,99
Polar,Urheilullinen,Laiska,0,0,40,100
Rapala,Upea,ruma,1,0,41,101
Ratia,ajaton,Ruma,0,1,42,102
Rovio,Innokas,Tavanomainen,0,1,43,103
Saarioinen,Maukas,Mauton,0,1,44,104
Sanoma,Laaja,Paikallinen,0,1,45,105
Sasta,Normaali,Kamala,0,1,46,106
Savotta,turvallinen,vaarallinen,0,1,47,107
Sisu,Maukas,Mauton,0,1,48,108
Slush,Tumma,Valoisa,1,0,49,109
Stockmann,Perinteinen,uusi,0,1,50,110
Supercell,uniikki,perinteinen,1,0,51,111
Suunto,Moderni,Vanhentunut,0,0,52,112
Teboil,Tehokas,uusiutuva,0,1,53,113
Tunturi,Luja,Heikko,0,0,54,114
TVO,energinen,kurja,1,0,55,115
Uponor,vaivaton,vaikea,1,0,56,116
Valio,luontainen,Pilaantunut,1,1,57,117
Valmet,suuri,pieni,0,1,58,118
Wolt,Nopea,Hidas,0,1,59,119
Yle,Vanha,Uusi,1,1,60,120
