BRAND: ,Matching,Conflicting,Pos. first,Conf. first,Number match,Number conf
Adidas,urhea,laiska,1,1,121,181
Airbus,mukava,ahdas,0,0,122,182
Alibaba,Halpa,Kallis,0,0,123,183
Amazon,Valtava,Paikallinen,1,1,124,184
Apple,Laadukas,Muovinen,1,1,125,185
Asus,Tehokas,Painava,1,1,126,186
Audi,moderni,hidas,1,1,127,187
Bauer,nopea,takkuileva,1,1,128,188
Bayer,parantava,pahoinvoiva,1,1,129,189
Boeing,Lennokas,Pelottava,1,0,130,190
Bosch,Toimiva,kelvoton,1,1,131,191
Bose,Suosittu,harvinainen,1,0,132,192
CNN,Iso,Pieni,1,0,133,193
Disney,Lapsellinen,Vihamielinen,1,0,134,194
Electrolux,Elektroninen,Manuaalinen,1,1,135,195
Fanta,Keltainen,Musta,0,1,136,196
Fender,Kallis,Halpa,0,1,137,197
FOX,kuuluisa,Luotettava,1,1,138,198
Gant,muodikas,Vanhanaikainen,0,1,139,199
Garmin,teknillinen,pieni,0,0,140,200
Google,keskeinen,tuntematon,0,0,141,201
Huawei,Innovoiva,taantunut,1,1,142,202
Husqvarna,Puhdas,Likainen,1,0,143,203
IBM,globaali,Tuntematon,1,1,144,204
IKEA,Halpa,Laaduton,1,0,145,205
KFC,rasvainen,terveellinen,1,1,146,206
Lacoste,perinteinen,laaduton,0,1,147,207
LEGO,Ajaton,Hetkellinen,0,0,148,208
Lidl,Halpa,Kallis,1,1,149,209
Littmann,Tarkka,virheellinen,1,1,150,210
Lufthansa,Mukava,Ahdas,0,0,151,211
McDonalds,Nopea,Hidas,1,0,152,212
Microsoft,Monipuolinen,Tavallinen,0,0,153,213
Motorola,innovatiivinen,tyly,0,0,154,214
Nike,Urheilullinen,Laiska,0,0,155,215
Nintendo,Hauska,Luonteeton,0,1,156,216
Oakley,Erilainen,Tyypillinen,1,1,157,217
OnePlus,Tekninen,Vanhentunut,0,1,158,218
Pepsi,kupliva,Kuplaton,1,1,159,219
Philips,tekninen,kivikautinen,0,1,160,220
Pringles,Herkullinen,Pahanmakuinen,1,1,161,221
Puma,upea,nuhruinen,0,0,162,222
RayBan,Muodikas,ruma,0,0,163,223
Rolex,Upea,Halpa,0,0,164,224
Samsung,uskomaton,tavanomainen,1,0,165,225
Sennheiser,Osaava,vihattava,0,0,166,226
Sony,Laadukas,laaduton,0,1,167,227
Sprite,Raikas,musta,0,1,168,228
Starbucks,muodikas,keskinkertainen,1,1,169,229
Subway,Raikas,rasvainen,1,0,170,230
Suzuki,energinen,hidasteleva,1,1,171,231
Tesco,auttava,taitamaton,1,1,172,232
Tesla,Ekologinen,Saastuttava,0,1,173,233
Thomann,melodinen,alkeellinen,1,0,174,234
Toyota,Halpa,Kallis,0,1,175,235
Verizon,Houkutteleva,Kuvoksuttava,1,1,176,236
Visa,Turvallinen,Toimimaton,1,1,177,237
Volvo,Turvallinen,Turvaton,0,0,178,238
Walmart,Halpa,Kallis,0,0,179,239
Yamaha,Laadukas,Heikko,1,1,180,240
